Source,Target,Type,Kind
@leemiller67,1267878761208385536,Directed,Tweets
@george1robinson,1267821451400245250,Directed,Tweets
@scotamfa,1267818900986589191,Directed,Tweets
1267818900986589191,"#volunteersweek",Directed,Has_hashtag
1267818900986589191,http://pbs.twimg.com/media/EZgwFPeU4Ace0J1.jpg,Directed,Has_media
@george1robinson,@scotamfa,Directed,Quotes_from
@george1robinson,1267818900986589191,Directed,Quotes
@leemiller67,@george1robinson,Directed,Retweets_from
@leemiller67,1267821451400245250,Directed,Retweets
@leemiller67,@scotamfa,Directed,Quotes_from
@leemiller67,1267818900986589191,Directed,Quotes
@gmas55612408,1267878762781257735,Directed,Tweets
1267878762781257735,https://www.rtl.fr/actu/international/football-marcus-thuram-pose-un-genou-a-terre-en-hommage-a-george-floyd-7800564778,Directed,Has_link
@shanethegooner,1267878762785497093,Directed,Tweets
1267878762785497093,http://pbs.twimg.com/media/EZhpAv7XYAUhAm6.jpg,Directed,Has_media
@ryanphelps27,1267878764647796736,Directed,Tweets
@isaiahhole,1267869749452713990,Directed,Tweets
1267869749452713990,"#michigan",Directed,Has_hashtag
1267869749452713990,https://wolverineswire.usatoday.com/2020/06/02/michigan-football-jim-harbaugh-team-marches-black-lives-matter-protest-ann-arbor-george-floyd/,Directed,Has_link
@ryanphelps27,@isaiahhole,Directed,Retweets_from
@ryanphelps27,1267869749452713990,Directed,Retweets
@kaii_baby3,1267878765989818368,Directed,Tweets
@bbygirlerica,1267878322987397120,Directed,Tweets
@kaii_baby3,@bbygirlerica,Directed,Retweets_from
@kaii_baby3,1267878322987397120,Directed,Retweets
@the_gaffer10,1267878766065393666,Directed,Tweets
@_passtheball,1267876038941585415,Directed,Tweets
1267876038941585415,@saintmus_,Directed,Has_mention
1267876038941585415,https://www.youtube.com/channel/UCDPzxWWbiqbCNiLa6eFQd4A,Directed,Has_link
1267876038941585415,http://pbs.twimg.com/ext_tw_video_thumb/1267875232477569024/pu/img/KboTNC-FQ2m8JhpY.jpg,Directed,Has_media
@the_gaffer10,@_passtheball,Directed,Retweets_from
@the_gaffer10,1267876038941585415,Directed,Retweets
@biansanfelice,1267878766627471362,Directed,Tweets
@tycsports,1267856243869261826,Directed,Tweets
1267856243869261826,http://pbs.twimg.com/media/EZhUek2XkAMzDZC.jpg,Directed,Has_media
@biansanfelice,@tycsports,Directed,Quotes_from
@biansanfelice,1267856243869261826,Directed,Quotes
@evan_vick,1267878766845595650,Directed,Tweets
@nathaneast22,1267836756159795200,Directed,Tweets
1267836756159795200,"#blacklivesmatter",Directed,Has_hashtag
1267836756159795200,http://pbs.twimg.com/media/EZhCzwkXsAEtLWF.jpg,Directed,Has_media
@evan_vick,@nathaneast22,Directed,Retweets_from
@evan_vick,1267836756159795200,Directed,Retweets
@of_1890,1267878767202091010,Directed,Tweets
1267878767202091010,@marlborofood,Directed,Has_mention
@ayhnisk,1267878768128995330,Directed,Tweets
1267878768128995330,http://pbs.twimg.com/media/EZQHhK1XgAA-I7y.jpg,Directed,Has_media
@90sfootball,1267516262239870977,Directed,Tweets
1267516262239870977,http://pbs.twimg.com/media/EZQHhK1XgAA-I7y.jpg,Directed,Has_media
@ayhnisk,@90sfootball,Directed,Retweets_from
@ayhnisk,1267516262239870977,Directed,Retweets
@trueoriginole,1267878773367738369,Directed,Tweets
@bypatforde,1267603288964423681,Directed,Tweets
1267603288964423681,https://bit.ly/2BlDEFv,Directed,Has_link
@trueoriginole,@bypatforde,Directed,Retweets_from
@trueoriginole,1267603288964423681,Directed,Retweets
@steve4you4ever,1267878774705717248,Directed,Tweets
1267878774705717248,"#blacklivesmatter",Directed,Has_hashtag
1267878774705717248,"#paulodybala",Directed,Has_hashtag
1267878774705717248,"#blackouttuesday",Directed,Has_hashtag
@latestly,1267878528323743744,Directed,Tweets
1267878528323743744,@teammessi,Directed,Has_mention
1267878528323743744,@paulpogba,Directed,Has_mention
1267878528323743744,@marcusrashford,Directed,Has_mention
1267878528323743744,@arsenal,Directed,Has_mention
1267878528323743744,"#blacklivesmatter",Directed,Has_hashtag
1267878528323743744,"#paulodybala",Directed,Has_hashtag
1267878528323743744,"#blackouttuesday",Directed,Has_hashtag
1267878528323743744,https://www.latestly.com/sports/football/lionel-messi-paul-pogba-paulo-dybala-marcus-rashford-support-blackouttuesday-arsenal-burnley-fc-others-join-the-movement-1796686.html,Directed,Has_link
@steve4you4ever,@latestly,Directed,Retweets_from
@steve4you4ever,1267878528323743744,Directed,Retweets
@elizabeth_bogle,1267878775376748552,Directed,Tweets
@rsms_cheer,1267820069460959235,Directed,Tweets
@elizabeth_bogle,@rsms_cheer,Directed,Retweets_from
@elizabeth_bogle,1267820069460959235,Directed,Retweets
@giordanofer1,1267878776693755905,Directed,Tweets
@varskysports,1267868628138983429,Directed,Tweets
1267868628138983429,https://twitter.com/VarskySports/status/1267867355692126208,Directed,Has_link
@varskysports,1267867355692126208,Directed,Tweets
1267867355692126208,http://pbs.twimg.com/media/EZhedkyXgAEa7Hx.jpg,Directed,Has_media
@giordanofer1,@varskysports,Directed,Retweets_from
@giordanofer1,1267868628138983429,Directed,Retweets
@giordanofer1,@varskysports,Directed,Quotes_from
@giordanofer1,1267867355692126208,Directed,Quotes
@accfootballnews,1267878776995819522,Directed,Tweets
1267878776995819522,@nandosports,Directed,Has_mention
1267878776995819522,@theherald_sun,Directed,Has_mention
1267878776995819522,@ws_4mayor,Directed,Has_mention
1267878776995819522,"#ncstate",Directed,Has_hashtag
1267878776995819522,https://paper.li/accfootballnews/1531976146?edition_id=f12e63f0-a4fa-11ea-95d8-0cc47a0d1605,Directed,Has_link
@cristopherivan4,1267878778816077826,Directed,Tweets
@observadoruy,1267864080611762179,Directed,Tweets
1267864080611762179,https://www.elobservador.com.uy/nota/la-polemica-lista-de-france-football-incluyo-al-campeon-del-siglo-y-dejo-afuera-al-gran-parque-central-202062135922,Directed,Has_link
@cristopherivan4,@observadoruy,Directed,Retweets_from
@cristopherivan4,1267864080611762179,Directed,Retweets
@ajmitchelll,1267878778245713922,Directed,Tweets
@bron_hansen,1267782287610925059,Directed,Tweets
1267782287610925059,@wba,Directed,Has_mention
1267782287610925059,"#exsupporter",Directed,Has_hashtag
@ajmitchelll,@bron_hansen,Directed,Quotes_from
@ajmitchelll,1267782287610925059,Directed,Quotes
@stevejayjay7,1267878781819158530,Directed,Tweets
1267878781819158530,@harryy_011,Directed,Has_mention
1267878781819158530,@adithya78620852,Directed,Has_mention
1267878781819158530,@utdreport,Directed,Has_mention
@paradigm_sports,1267878783761014784,Directed,Tweets
@paradigm_sports,1266082133455572992,Directed,Tweets
1266082133455572992,https://sirc.ca/blog/football-makes-bold-pivot/,Directed,Has_link
@jacklatham4,1267878783727607808,Directed,Tweets
1267878783727607808,@jamiewilf9,Directed,Has_mention
1267878783727607808,@birnie_luke,Directed,Has_mention
1267878783727607808,@dwight_mcneil99,Directed,Has_mention
@chakal_tom,1267878784662986753,Directed,Tweets
1267878784662986753,"#staderennais",Directed,Has_hashtag
@ouestfrance35,1267838853693558785,Directed,Tweets
1267838853693558785,"#staderennais",Directed,Has_hashtag
1267838853693558785,"#rennes",Directed,Has_hashtag
1267838853693558785,https://www.ouest-france.fr/sport/football/stade-rennais/podcast-arrivee-de-florian-maurice-mercato-pleine-lucarne-fait-le-point-sur-l-actu-du-stade-rennais-6855769,Directed,Has_link
@chakal_tom,@ouestfrance35,Directed,Retweets_from
@chakal_tom,1267838853693558785,Directed,Retweets
@maddiehansen33,1267878785484910592,Directed,Tweets
@utah_football,1266551819955695618,Directed,Tweets
@maddiehansen33,@utah_football,Directed,Retweets_from
@maddiehansen33,1266551819955695618,Directed,Retweets
@therobsonator93,1267878785426378753,Directed,Tweets
@kupersimon,1267845424687300612,Directed,Tweets
@tacklingtrolls,1267798301346324480,Directed,Tweets
1267798301346324480,@wba,Directed,Has_mention
1267798301346324480,http://pbs.twimg.com/media/EZgfxVoWAAIvF58.png,Directed,Has_media
@kupersimon,@tacklingtrolls,Directed,Quotes_from
@kupersimon,1267798301346324480,Directed,Quotes
@therobsonator93,@kupersimon,Directed,Retweets_from
@therobsonator93,1267845424687300612,Directed,Retweets
@therobsonator93,@tacklingtrolls,Directed,Quotes_from
@therobsonator93,1267798301346324480,Directed,Quotes
@egesapaulwyclif,1267878786663624704,Directed,Tweets
1267878786663624704,@anfieldwatch,Directed,Has_mention
@gastonifran2,1267878786885980161,Directed,Tweets
@gastonifran2,@tycsports,Directed,Retweets_from
@gastonifran2,1267856243869261826,Directed,Retweets
